tags,pt-br,es,en,ru,de,status
msg.segunda.semana3,"Comer frutas, beber água podem ajudá-lo a vencer estes momentos.",Comer frutas y beber agua puede ayudarlo  a superar  estos momentos.,Eating fruits and drinking water might help you overcome these moments.,Употребление фруктов и воды может помочь преодалеть такие моменты.,Früchte essen und Wasser trinken helfen Ihnen diese Momente zu besiegen.,ok
msg.segunda.semana4,"Separamos para você, um exercício de relaxamento preparado por especialistas em tabagismo. Você pode acessá-lo ou fazer o download no site.",Nosotros separamos para usted un ejercicio de relajación preparado por expertos en tabaquismo. Usted puede acceder a este o descargarlo del sitio web.,We have prepared a relaxation exercise for you. You can access it or download it from the website.,Мы подготовили расслабляющее упражнение для Вас. Вы можете скачать его или получить к нему доступ на сайте.,"Wir haben für Sie eine Entspannungsübung herausgesucht, die von Experten entwickelt wurde. Sie können diese aufrufen oder auf der Website downloaden.",ok
msg.segunda.semana5,"Para evitar o ganho de peso, tente fazer exercícios físicos (como caminhada) e comer mais frutas e vegetais.","Para evitar el aumento de peso, trate de hacer ejercicios físicos (como caminar) y comer más frutas y verduras.","In order to avoid gaining weight, try to exercise (e.g. go for a walk) and to eat fruits and vegetables.","Чтобы не набрать вес, старайтесь делать физические упражнения (например, гуляйте) и кушать фрукты/овощи.","Um der Gewichtszunahme entgegenzuwirken, sollten Sie sich bewegen (z.B. Laufen) und mehr Obst und Gemüse essen.",ok
msg.segunda.semana6,Não conseguiu parar ainda? Teve uma recaída?,¿Todavía no ha dejado de fumar?  ¿Tuvo una recaída?,Have you been unable to stop smoking yet? Have you had a relapse?,Вы все еще не смогли прекратить курить? У вас случился рецидив?,Haben Sie es noch nicht geschafft aufzuhören? Hatten Sie einen Rückfall?,ok
msg.segunda.semana7,Sabemos que o processo de parar de fumar é difícil. Temos algumas informações e exercícios que podem ajudá-lo em nosso site.,Sabemos que el proceso para dejar de fumar es difícil. Tenemos recomendaciones y ejercicios en nuestro sitio web que pueden ayudarlo,We know that the process of stop smoking is hard. We have some information and exercises in the website that might help you,"Мы знаем, что бросать курить - это трудный процесс. На нашем сайте есть информация и упражнения, которые могут помочь Вам.","Wir wissen, dass es schwierig ist, mit dem Rauchen aufzuhören. Deshalb haben wir einige Informationen und Übungen zur Unterstützung auf unserer Seite zusammengestellt.",ok
msg.terceira.semana1,"Parabéns! Você está superando um dos maiores desafios de sua vida. E para comemorar, que tal comprar alguma coisa ou presentear alguém com o dinheiro economizado com o cigarro?","¡Felicitaciones! Usted está superando uno de los mayores retos de su vida. Y para celebrarlo,puede comprar un regalo o un presente para alguien con el dinero que ahorró.","Congratulations! You are overcoming one of the hardest challenges of your life. And to celebrate, what about buying something or giving somebody a gift bought with the money you saved from not buying cigarettes?","Поздравляем! Вы преодалеваете одно из самых служных исптаний в Вашей жизни. И чтобы отпразновать это событие, как насчет того, чтобы купить или подарить подарок кому-либо на деньги, съэкономленные на непокупании сигарет?","Herzlichen Glückwunsch! Sie sind dabei eine der größten Herausforderungen Ihres Lebens anzugehen. Grund genug zu feiern - wie wäre es, wenn Sie sich etwas kaufen oder jemandem ein Geschenk mit dem ersparten Geld für die Zigaretten machen?",ok
msg.terceira.semana2,"Você já deve ter percebido melhoras no seu organismo como seu fôlego, auto-estima. Além disso a partir desta semana, o risco de ter um ataque cardíaco começa a reduzir. Seus pulmões começam a funcionar melhor.","Usted ya debe haber percibido mejoras en su organismo como recuperar energía, aumentar su autoestima. También a partir de esta semana, el riesgo de tener un ataque al corazón comienza a disminuir. Sus pulmones empiezan a funcionar mejor.","You may have already noticed some improvements in your body such as your breathing and self-esteem. Besides, from this week on, the risk of having a heart attack starts decreasing. Your lungs start working better.","Вы, возможно, уже заметили некоторые улучшения дыхания и самоценки. Кроме того, начиная с этой недели, риск сердечного приступа наинает уменьшаться. Ваши легкие наинают работать лучше.","Sie haben bestimmt Verbesserungen, z.B. bezüglich Ihrer Atmung und Ihres Selbstwertgefühls, erfahren. Außerdem reduziert sich ab dieser Woche das Risiko für einen Herzinfarkt. Ihre Lunge funktioniert bereits jetzt besser.",ok
msg.terceira.semana3,Não conseguiu parar ainda? Teve uma recaída?,¿Todavía no ha dejado de fumar?  ¿Tuvo una recaída?,Have you been unable to stop smoking yet? Have you had a relapse?,Вы все еще не смогли прекратить курить? У вас случился рецидив?,Haben Sie es noch nicht geschafft aufzuhören? Hatten Sie einen Rückfall?,ok
msg.terceira.semana4,Sabemos que o processo de parar de fumar é difícil. Temos algumas informações e exercícios que podem ajudá-lo em nosso site.,Sabemos que el proceso para dejar de fumar es difícil. Tenemos recomendaciones y ejercicios en nuestro sitio web que pueden ayudarlo,We know that the process of stop smoking is hard. We have some information and exercises in the website that might help you,"Мы знаем, что бросать курить - это трудный процесс. На нашем сайте есть информация и упражнения, которые могут помочь Вам.","Wir wissen, dass es schwierig ist, mit dem Rauchen aufzuhören. Deshalb haben wir einige Informationen und Übungen zur Unterstützung auf unserer Seite zusammengestellt.",ok
msg.mensal1,"Hora do acompanhamento mensal! Caso tenha alguma dúvida sobre parar, não deixe de entrar em nosso programa.","Es el momento del acompañamiento mensual. Si usted tiene alguna duda acerca del tabaquismo, no deje de entrar en nuestro programa.","Time for the monthly follow up! In case you have questions about quitting, visit our website.","Время для месячной проверки! Если у Вас есть вопросы по-поводу бросания курить, посетите наш сайт.","Zeit für eine monatliche Begleitung! Sollten Sie Fragen bezüglich der Tabakabhängigkeit haben, zögern Sie nicht, unserer Programm zu verwenden.",ok
msg.mensal2,Nós temos uma página no facebook e conta do twitter. Deixe um recado para gente ou para outras as pessoas que também estão tentando parar.,Tenemos una página en Facebook y una cuenta de Twitter. Deje un comentario para nosotros o para otras personas que también están intentando dejar de fumar.,We have a Facebook page and a twitter account. Leave us a message or a message to somebody else who is also trying to stop.,"У нас есть страница на Фейсбуке и аккаунт в Твитере. Оставьте сообщение нам или кому-либо другому, кто также пытается бросить курить.","Wir sind bei Facebook und Twitter zu finden. Schreibe uns oder anderen, die auch versuchen mit dem Rauchen aufzuhören, eine Nachricht.",ok
msg.mensal3,Não conseguiu parar ainda? Teve uma recaída?,¿Todavía no ha dejado de fumar?  ¿Tuvo una recaída?,Have you been unable to stop smoking yet? Have you had a relapse?,Вы все еще не смогли прекратить курить? У вас случился рецидив?,Haben Sie es noch nicht geschafft aufzuhören? Hatten Sie einen Rückfall?,ok
msg.mensal4,Sabemos que o processo de parar de fumar é difícil. Temos algumas informações e exercícios que podem ajudá-lo em nosso site.,Sabemos que el proceso para dejar de fumar es difícil. Tenemos recomendaciones y ejercicios en nuestro sitio web que pueden ayudarlo,We know that the process of stop smoking is hard. We have some information and exercises in the website that might help you,"Мы знаем, что бросать курить - это трудный процесс. На нашем сайте есть информация и упражнения, которые могут помочь Вам.","Wir wissen, dass es schwierig ist, mit dem Rauchen aufzuhören. Deshalb haben wir einige Informationen und Übungen zur Unterstützung auf unserer Seite zusammengestellt.",ok
iniciando.envio.emails,Iniciando Envio de emails,Iniciando el envío de correo electrónico.,Starting sending email,Начало отправки электронного сообщения,Das Senden der Email wird vorbereitet,ok
email.data.diferente.enviado,Email data diferente enviado para,"Correo electrónico ""fecha distinta"" enviado a",Email with a different date was sent to,Сообщение с другой датой было отправлено на,Email mit anderem Datum geschickt an,ok
email.primeira.semana.enviado,Email primeira semana enviado para,"Correo electrónico ""primera semana"" enviado  a",Email of the first week was sent to,Сообщение первой недели было отправлено на,Email in der ersten Woche geschickt an,ok
email.segunda.semana.enviado,Email segunda semana enviado para,"Correo electrónico "" segunda semana"" enviado a",Email of the second week was sent to,Сообщение второй недели было отправлено на,Email in der zweiten Woche geschickt an,ok
email.terceira.semana.enviado,Email terceira semana enviado para,"Correo electrónico ""tercera semana"" enviado  a",Email of the third week was sent to,Сообщение третьей недели было отправлено на,Email in der dritten Woche geschickt an,ok
email.mensal.enviado,Email mensal enviado para,Correo electrónico mensual enviado a,Monthly email was sent to,Месячное сообщение было отправлено на,Monatliche Email geschickt an,ok
exercicio.relaxamento,Fazer exercício de relaxamento -,Hacer ejercicios de relajación -,Practice the relaxation exercise-,Практиковать расслабляющее упражнение - ,Entspannungsübungen durchführen -,ok
exercicio.relaxamento1,\ em áudio MP3,\ Audio MP3,MP3 audio,МР3 аудио,\ in MP3,ok
pronto.evitar.titlepage,Como evitar recaídas,Cómo evitar las recaídas,How to avoid relapses,Как избежать рецидивов,Wie vermeidet man Rückfälle?,ok
pronto.evitar.img.title,Saiba dizer não,Aprenda a decir no,Learn how to say no,Научитесь говорить НЕТ,Lernen Sie Nein zu sagen,ok
pronto.evitar.p.1,Você já tentou parar de fumar outras vezes?,¿Usted intentó dejar de fumar otras veces?,Have you ever tried to stop smoking before?,Пытались ли Вы бросить курить раньше?,"Haben Sie schon einmal versucht, mit dem Rauchen aufzuhören?",ok
pronto.evitar.question.option.1,Sim,Sí,Yes,Да,Ja,ok
pronto.evitar.question.option.2,Não,no,No,Нет,Nein,ok
aboutus.h3.daniela,Daniela Aparecida Pereira,Daniela Aparecida Pereira,Daniela Aparecida Pereira,Даниела Апаресида Перейра,Daniela Aparecida Pereira,ok
aboutus.p.daniela,Graduanda em Engenharia Computacional. Atualmente é bolsista da Universidade Federal de Juiz de Fora.,Estudiante de Ingeniería Computacional en la  Universidad Federal de Juiz de Fora.,Student in Computer Engineering at UFJF. Currently has a researcher scholarship at Juiz de Fora Federal University,Студент факультета компьютерной инженерии в UFJF. На данный момент получает исследовательскую стипендию в Федеральном Университете Жуиз-ди-Форы.,Studentin in Computational Engineering. Stipendiatin an der staatlichen Universität in Juiz de Fora.,ok
aboutus.h3.caroline,Caroline Jansen,Caroline Jansen,Caroline Jansen,Каролин Янсен,Caroline Jansen,ok
aboutus.p.caroline,"Estudante do curso ""International Cultural Business Studies"" na Universidade de Passau - Alemanha. Intercâmbio na Universidade Federal de Juiz de Fora. Realizou a tradução para alemão e correções no espanhol. Conhece os seguintes idiomas: espanhol, inglês, português e francês.","Estudiante de ""International Cultural Business Studies"" en la Universidad de Passau, Alemania. Intercambio en la Universidad Federal de Juiz de Fora.  Traducción del portugués. Idiomas: Alemão, Español, Inglés, Portugués y Francés","Student in Interational Cultural Business Studies at University of Passau - Germany. Exchange student at Federal University of Juiz de Fora. Languages: Spanish, English, Portuguese and French.","Студент факультета Интернациональной Культуры и Бизнесса в Университете Пассау, Германия. Студент по обмену в Федеральном Университете Жуиз-ди-Форы. Языки: Испанский, Английский, Португальский и Французский.","Studium der Kulturwirtschaft an der Universität Passau, Auslandssemester an der staatlichen Universität Juiz de Fora (UFJF). Übersetzung aus dem  Portugiesischen. Sprachen: Deutsch, Spanisch, Englisch, Portugiesisch  und Französisch.",ok
aboutus.h3.kimber,"Prof. Kim Richter, PhD","Prof. Kim Richter, PhD","Prof. Kim Richter, PhD","Др. Ким Рихтер, профессор.",Frau Ph.D. Kimber Richter,ok
aboutus.p.kimber,"Pesquisadora da Universidade de Kansas (EUA) e diretora do programa  UkanQuit da Escola de Medicina da Universidade de Kansas (KU), que já  atendeu mais de oito mil pacientes desde 2006. Também é pesquisadora  principal do programa Connect2Quit, que oferece video aconselhamento  para fumantes em áreas rurais do estado de Kansas.","Pesquisadora da Universidade de Kansas (EUA) e diretora do programa 
UkanQuit da Escola de Medicina da Universidade de Kansas (KU), que já 
atendeu mais de oito mil pacientes desde 2006. Também é pesquisadora 
principal do programa Connect2Quit, que oferece video aconselhamento 
para fumantes em áreas rurais do estado de Kansas.","Dr. Richter is director of UkanQuit at KUMed, a bedside tobacco treatment service for hospital inpatients, which has served over 8,000 patients since its inception in 2006. She is also principal investigator of Connect2Quit, an NIH-funded trial on the effectiveness of real-time  internet video counseling for smoking cessation for rural smokers in Kansas. She also conducts research and training in Brazil, through a  collaboration with the University of Juiz de Fora in the state of Minas Gerais.","Др. Рихтер является директором программы UkanQuit в Медицинском Центре Университета Канзаса - программы по стационарному лечению табакозависимости пациентов больницы, обслуживающей более 8000 пациентов с момента запуска программы в 2006 году. Она также является директором Connect2Quit - исследования эффективности интернет консультаций для прекращения курения в режиме реального времени для курильщиков сельской местности Канзаса. Она также проводит исследования и тренинги в Бразилии через сотрудничество с Университетом Жуиз-ди-Форы штата Минас Жерайс. ","Dr. Richter ist Leiterin des Programms UkanQuit an der Universität Kansas (USA), welches seit 2006 bereits 8.000 Patienten gedient hat. Dr. Richter ist zudem leitende Forscherin des Programms Connect2Quit, welches anleitende und unterstützende Videos für Raucher in ländlichen Gebieten Kansas zur Verfügung stellt.",ok
aboutus.h3.zhaba,Dr. Dmytro Khvostenko,Dr. Dmytro Khvostenko,"Dr. Dmytro Khvotenko, Postdoctoral Researcher.",Др. Дмитро Хвостенко,,
aboutus.p.zhaba,,,Dr. Dmytro Khvostenko is Postdoctoral Researcher at the Bioengineering Research Center at University of Kansas. He has got his PhD degree in Dental Materials Science from Oreogn State University. He made Live without Tabacco project available for Russian-speaking countries.  ,"Др. Дмитро Хвостенко является исследователем в Центре Биоинженерии Университета Канзаса. Он получил Докторскую степень в области Стоматологических Материалов в Орегонском Государственном Университете. В данном проекте Др. Хвостенко сделал программу ""Живи без Табака"" доступной в русско-говорящих странах мира.",,
signout,Sair,Salir,Signout,Выйти,Abmelden,ok
###################################,,,,,,ok
# PASSWORD RECOVERY,,,,,,ok
###################################,,,,,,ok
change,Alterar,Cambiar,Change,Изменить,Alterar,needs translation
accept,Aceitar,Aceptar,Accept,Принять,Aceitar,needs translation
user.not.registered.password,Usuário não cadastrado solicitando alteração de senha,Usuário não cadastrado solicitando alteração de senha,User not registered trying to change password,Незарегистрированный пользователь пытается изменить пароль,Usuário não cadastrado solicitando alteração de senha,needs translation
subject.email.password,Redefinição de senha,Redefinição de senha,Reset password,Сбросить пароль,Redefinição de senha,needs translation
email.password.send,Recebemos uma solicitação para informação dos dados de autenticação para o seguinte e-mail: ,Recebemos uma solicitação para informação dos dados de autenticação para o seguinte e-mail: ,We received a request to change information of the account associated with the following email:,"Мы получили запрос изменить информацию аккаунта, связанного с этим электронным адресом:",Recebemos uma solicitação para informação dos dados de autenticação para o seguinte e-mail: ,needs translation
email.password.send.2,", caso não tenha feito esta solicitação, favor desconsiderar o mesmo.",", caso não tenha feito esta solicitação, favor desconsiderar o mesmo.","If you have not done anything, please ignore this message.","Если Вы не отсылали ниакого запроса, пожалуйста, проигнорируйте это сообщение.",", caso não tenha feito esta solicitação, favor desconsiderar o mesmo.",needs translation
email.password.send.3,Caso tenha sido você: ,Caso tenha sido você: ,"In case you've done, please:","Если же Вы отсылали запрос, то:",Caso tenha sido você: ,needs translation
email.password.send.4,- copie o seguinte código: ,- copie o seguinte código: ,- copy the code below:,-скопируйти код ниже;,- copie o seguinte código: ,needs translation
email.password.send.5,"- e digite-o no seguinte link, para prosseguir com a sua alteração de senha: ","- e digite-o no seguinte link, para prosseguir com a sua alteração de senha: ",- and type than in the following URL to change your password.,"-и введите его в поле, находящемся по данной ссылке, чтобы изменить пароль.","- e digite-o no seguinte link, para prosseguir com a sua alteração de senha: ",needs translation
email.sent.password,Email enviado com sucesso,Email enviado com sucesso,Email sent.,Сообщение отправлено.,Email enviado com sucesso,needs translation
password.changed,Senha alterada,Senha alterada,Password changed successfully,Пароль успешно изменен.,Senha alterada,needs translation
user.not.registered.requesting.password.change,Usuário não cadastrado solicitando alteração de senha,Usuário não cadastrado solicitando alteração de senha,User not registered trying to change password,Незарегистрированный пользователь пытается изменить пароль,Usuário não cadastrado solicitando alteração de senha,needs translation
enter.email,Digite seu email:,Digite seu email:,Insert your email:,Введите ваш электронный адрес:,Digite seu email:,needs translation
enter.code,Digite o código:,Digite o código:,Insert de code:,Введите код:,Digite o código:,needs translation
enter.new.password,Digite aqui a sua nova senha:,Digite aqui a sua nova senha:,Your new password:,Ваш Новый пароль:,Neu passwort:,needs translation
forgot.password,Esqueceu sua senha?,Esqueceu sua senha?,Forgot you password?,Забыли пароль?,Esqueceu sua senha?,needs translation
email.code.incorrect,Email ou código incorretos,Email ou código incorretos,Email or code incorrect,Неверный эелектронный адрес или пароль,Email ou código incorretos,needs translation
change.password,Trocar senha,Trocar senha,Change password,Изменить пароль,Trocar senha,needs translation
i.forgot.password,Esqueci minha senha,Esqueci minha senha,Forgot my password,Я забыл/забыла свой пароль,Esqueci minha senha,needs translation
code,Código,Código,Code,Код,Código,needs translation
h1.recover.password,Recuperar senha,Recuperar senha,Password recovery,Восстановление пароля,Recuperar senha,needs translation
p.send.email,Vamos enviar um email com instruções para seu e-mail cadastrado.,Vamos enviar um email com instruções para seu e-mail cadastrado.,We are going to send you the instructions to reset your password to your registered email.,Мы отправим инструкции по сбросу пароля на ваш зарегистрированный электронный адрес.,Vamos enviar um email com instruções para seu e-mail cadastrado.,needs translation
###################################,,,,,,ok
# FTND - FAGESTROM TEST OF NICOTINE DEPENDENCE,,,,,,ok
###################################,,,,,,ok
ftnd.1q,"Quanto tempo após acordar você fuma seu
primeiro cigarro?","¿Cuánto tarda, depué de despertarse, en fumar su primer cigarrillo?","How soon after you wake up do you
smoke your first cigarette?","Как скоро, после пробуждения, Вы выкуриваете Вашу первую сигарету?",Wann rauchen Sie Ihre erste Zigarette nach dem Erwachen?,ok
ftnd.r.1a,Dentro de cinco minutos.,Menos de 5 minutos.,Within 5 minutes.,В течении 5 минут.,Innerhalb von 5 Minuten.,ok
ftnd.r.1b,Entre 6 e 30 minutos;,Entre 6 y 30 minutos.,6-30 minutes.,В течении 6-30 минут.,Innerhalb von 6 bis 30 Minuten.,ok
ftnd.r.1c,Entre 31 e 60 minutos.,Entre 31 y 60 minutos.,31-60 minutes.,В течении 31-60 минут.,Innerhalb von 31 bis 60 Minuten.,ok
ftnd.r.1d,Após 60 minutos.,Más de 60 minutos.,After 60 minutes.,После 60 минут.,Es dauert länger als 60 Minuten.,ok
ftnd.2q,"Você acha difícil não fumar em lugares
públicos como igrejas, bibliotecas, etc?","¿Encuentra dificil de abstenerse de fumar en sitios en donde está prohibido, tales como iglesias, bibliotecas, cines, etc?","Do you find it difficult to refrain from smoking in places where it is forbidden e.g. in church, at the library, in cinema, etc?","Считете ли Вы, что Вам трудно сдерживаться от курения в местах, где курение запрещено, т.е. в церкви, в библиотеке, в кино и.т.д.?","Finden Sie es schwierig, an Orten, wo das Rauchen verboten ist (z.B. in der Kirche, in der Bibliothek, im Kino usw.) darauf zu verzichten?",ok
ftnd.3q,Qual o cigarro do dia que te traz mais satisfação?,¿A qué cigarrillo odiaría más renunciar?,Which cigarette would you hate most to give up?,От какой сигареты Вы труднее всего отказаться?,Auf welche Zigarette würden Sie nicht verzichten wollen?,ok
ftnd.r.3a,O primeiro da manhã.,Al primero de la mañana.,The first one in the morning.,От первой сигареты утром.,Die erste nach dem Erwachen.,ok
ftnd.r.3b,Outros.,A cualquier otro.,All others.,От всех остальных сигарет.,Eine andere.,ok
ftnd.4q,Quantos cigarros você fuma por dia?,¿Cuántos cigarrillos fuma al dia?,How many cigarettes/day do you smoke?,Сколько сигарет Вы выкуриваете за день?,Wie viele Zigaretten rauchen Sie pro Tag?,ok
ftnd.r.4a,Menos de 10,10 o menos.,10 or less,10 или менее,Mehr als 30,ok
ftnd.r.4b,De 11 a 20,11-20,11-20,11-20,11-20,ok
ftnd.r.4c,De 21 a 30,21-30,21-30,21-30,21-30,ok
ftnd.r.4d,Mais de 31,31 o más,31 or more,31 или более,10 oder weniger,ok
ftnd.5q,Você fuma mais frequentemente pela manhã?,¿Fuma más a menudo durante las primeras horas después de despertarse que durante el resto do dia?,"Do you smoke more frequently during the
first hours after waking than during the                                                                            rest of the day?","Курите ли Вы чаще в первые часы после пробуждения, по-сравнению с остальным временем дня?","Rauchen Sie in den ersten Stunden nach dem Erwachen im Allgemeinen mehr als
am Rest des Tages?",ok
ftnd.6q,"Você fuma, mesmo doente, quando precisa
ficar de cama a maior parte do tempo?",¿Fuma cuando está tan enfermo que pasa en la cama la mayor parte del día?,"Do you smoke if you are so ill that you
are in bed most of the day?","Курите ли Вы даже тогда, когда настолько больны, что остаетесь в постели целый день?","Kommt es vor, dass Sie rauchen, wenn Sie krank sind und tagsüber im Bett 
bleiben müssen?",ok
###################################,,,,,,ok
# USER SATISFACTION QUESTIONNAIRE,,,,,,ok
###################################,,,,,,ok
satisfaction.scale.q1,"Em geral, quanta satisfação você sentiu ao usar o site?","Em geral, qual seu grau de satisfação com o site?","Overall, how satisfied were you with this website?",Насколько вы довольны этим сайтом?,"Overall, how satisfied were you with your website?",needs translation
satisfaction.scale.q1a,Nenhuma satisfação.,Nenhuma satisfação.,Not at all.,Полностью.,Not at all.,needs translation
satisfaction.scale.alittle,Pouquíssima.,Pouquíssima.,A little.,Немного.,A little.,needs translation
satisfaction.scale.somewhat,Pouca.,Pouca.,Somewhat.,В некотором роде.,Somewhat.,needs translation
satisfaction.scale.mostly,Maior parte.,Maior parte.,Mostly.,По большей части.,Mostly.,needs translation
satisfaction.scale.verymuch,Muitíssima.,Muitíssima.,Very much.,Очень.,Very much.,needs translation
satisfaction.scale.q1f,Não se aplica: Não usei o site.,Não se aplica: Não vou usar o site,Not applicable: I did not ever use this assigned website.,Я не пользуюсь этим сайтом.,Not applicable: I did not ever use my assigned website.,needs translation
satisfaction.scale.prefer.not.answer,Prefiro não responder.,Prefiro não responder.,Prefer not to answer.,Предпочитаю не отвечать.,Prefer not to answer.,needs translation
satisfaction.scale.q2,Você recomendaria esse site para um amigo que estivesse querendo parar de fumar?,Você recomendaria esse site para um amigo que gostaria de parar de fumar?,Would you recommend this website to a friend who would like to quit smoking?,"Порекоммендовали бы Вы это сайт другу, который хочет бросить курить?",Would you recommend your website to a friend who would like to quit smoking?,needs translation
satisfaction.scale.maybe,Talvez.,Talvez.,Unsure.,Не уверен/ не уверена.,Unsure.,needs translation
satisfaction.scale.3q,O site foi útil para você no exercício de para parar de fumar?,O site foi útil para você no exercício de para parar de fumar?,How useful were this website's skills exercises for quitting smoking?,Насколько полезны упражнения на этом сайте для бросания курить?,How useful were your website's skills exercises for quitting smoking?,needs translation
satisfaction.scale.r.3,Nenhuma utilidade.,Nenhuma utilidade.,Not at all.,Не полезны.,Not at all.,needs translation
satisfaction.scale.r.3,Não se aplica: Não tentei os métodos propostos,Não se aplica: Não tentei os métodos propostos,Not applicable: I did not try these methods.,Я не пытаюсь использовать эти методы.,Not applicable: I did not try these methods.,needs translation
satisfaction.scale.4q,"No geral, quão útil foram os planos personalizados do site para você parar de fumar?","No geral, quão útil foram os planos personalizados do site para você parar de fumar?","Overall, how useful was your website’s personalized plans for quitting smoking?",Насколько полезны оказались Ваши персональные планы (сгенерированные на этом сайте) для бросания курить?,"Overall, how useful was your website’s personalized plans for quitting smoking?",needs translation
satisfaction.scale.r.4,Nenhuma utilidade.,Nenhuma utilidade.,Not at all.,Не полезны.,Not at all.,needs translation
satisfaction.scale.r.4,Não se aplica: Não usei os planos personalizados do site.,Não se aplica: Não usei os planos personalizados do site.,Not applicable: I did not use the website's personalized plan for quitting.,"Я не использую персональный план, созданный на этом сайте, для бросания курить.",Not applicable: I did not use the website's personalized plan for quitting.,needs translation
satisfaction.scale.5q,Quão útil foram os fóruns de suporte do site para você parar de fumar?,Quão útil foram os fóruns de suporte do site para você parar de fumar?,How useful was this website’s support forums for quitting smoking?,Насколько полезным оказался форум этого сайта для бросания курить?,How useful was your website’s support forums for quitting smoking?,needs translation
satisfaction.scale.r.5,Nenhuma utilidade.,Nenhuma utilidade.,Not at all.,не полезен.,Not at all.,needs translation
satisfaction.scale.r.51,Não se aplica: Não usei os fóruns de suporte do site.,Não se aplica: Não usei os fóruns de suporte do site.,Not applicable: I do not use the website's support forums for quitting.,Я не использую форум этого сайта для бросания курить.,Not applicable: I do not use the website's support forums for quitting.,needs translation
satisfaction.scale.6q,"Desde que acessou o site pela 1° vez, quantas outras vezes você visitou o site?","Desde que começou o estudo, quantas vezes separadamente você visitou o site?","Since you started using the website, about how many times did you visit this website again?","С момента первого пользования сайтом, сколько раз вы снова посещали сайт?","Since you started the study, about how many separate times did you visit your website?",needs translation
satisfaction.scale.r.6,Número de vezes = ,Número de vezes = ,Number of times =,Количество раз = ,Number of times =,needs translation
satisfaction.scale.r.6,Prefiro não responder.,Prefiro não responder.,Prefer not to answer.,Предпочитаю не отвечать.,Prefer not to answer.,needs translation
satisfaction.scale.7q,Quão organizado você achou o site?,Quanto organizado você achou o site?,How well organized was this website?,Насколько хорошо этот сайт организован?,How well organized was your website?,needs translation
satisfaction.scale.r.7,Nenhuma organização.,Nenhuma organização.,Not at all.,Совсем плохо.,Not at all.,needs translation
satisfaction.scale.8q,Quão fácil para acessar as diferentes seções do site?,Quão fácil para acessar as diferentes seções do site?,How easy was it to access the different sections of the website?,Насколько легко было получить доступ к различным разделам этого сайта?,How easy was it to access the different sections of your website?,needs translation
satisfaction.scale.r.8,Nenhuma.,Nenhuma.,Not at all.,Совсем нелегко.,Not at all.,needs translation
satisfaction.scale.r.9,Existe algo mais que você gostaria de dizer sobre esse site?,Existe algo mais que você gostaria de dizer sobre o esse site?,Is there anything else you’d like to say about this assigned website?,Хотели бы Вы еще что-то сказать о данном сайте?,Is there anything more you’d like to say about your assigned website?,needs translation
###################################,,,,,,ok
# PHQ9 - PATIENT HEALTH QUESTIONNAIRE,,,,,,ok
###################################,,,,,,ok
phq9.r1,Nenhuma vez.,Para nada.,Not at all.,,Überhaupt nicht.,needs review
phq9.r2,Vários dias.,Varios días.,Several days.,,An einzelnen Tagen.,needs review
phq9.r3,Mais da metade dos dias.,Más de la mitad de los días.,More than half the days.,,An mehr als der Hälfte der Tage.,needs review
phq9.r4,Todos os dias.,Casi todos los días.,Nearly every day.,,Beinahe jeden Tag.,needs review
phq9.a,"Durante as últimas 2 semanas, com que frequência você foi incomodado/a por qualquer um dos problemas abaixo? ","Durante las últimas 2 semanas, ¿con qué frecuencia ha sentido molestias por los siguientes problemas? ","Over the last 2 weeks, how often have you been bothered by any of the following problems? ",,Wie oft fühlten Sie sich im Verlauf der letzten 2 Wochendurch die folgenden Beschwerden beeinträchtigt? ,needs review
phq9.1,Pouco interesse ou pouco prazer em fazer as coisas,Poco interés o placer en hacer las cosas,Little interest or pleasure in doing things,,Wenig Interesse oder Freude an Ihren Tätigkeiten,needs review
phq9.2,"Se sentir “para baixo”, deprimido/a ou sem perspectiva","Sentirse desanimado/a, deprimido/a o sin esperanzas","Feeling down, depressed, or hopeless",,"Niedergeschlagenheit, Schwermut oder Hoffnungslosigkeit ",needs review
phq9.3,"Dificuldade para pegar no sono ou permanecer dormindo, ou dormir mais do que de costume",Problemas para dormir o mantenerse el sueño o dormir demasiado ,"Trouble falling or staying asleep, or sleeping too much",,"Schwierigkeiten, ein- oder durchzuschlafen,oder vermehrter Schlaf ",needs review
phq9.4,Se sentir cansado/a ou com pouca energia,Sentirse cansado/a o con poca energía,Feeling tired or having little energy,,"Müdigkeit oder Gefühl, keine Energie zu haben",needs review
phq9.5,Falta de apetite ou comendo demais,Sentir poco apetito o comer en exceso,Poor appetite or overeating,,Verminderter Appetit oder übermäßiges Bedürfnis zu essen,needs review
phq9.6,Se sentir mal consigo mesmo/a — ou achar que você é um fracasso ou que decepcionou sua família ou você mesmo/a,Sentirse mal acerca de sí mismo o tener un sentimiento  de fracaso o de abandono propio o de la familia , Feeling bad about yourself — or that you are a failure or have let yourself or your family down ,,"Schlechte Meinung von sich selbst; Gefühl, ein Versager zu sein oder die Familie enttäuscht zu haben ",needs review
phq9.7,"Dificuldade para se concentrar nas coisas, como ler o jornal ou ver televisão",Dificultad para concentrarse en diferentes actividades tales como leer el periódico o ver televisión ," Trouble concentrating on things, such as reading the newspaper or watching television ",,"Schwierigkeiten, sich auf etwas zu konzentrieren, z. B. beim Zeitungslesen oder Fernsehen ",needs review
